"_type","comment","data_type","language","product","reviewer","reviewer_review_count","time","title","vote"
"dict","Tried hard to order laptop but failed. The first time they cancelled order, didn't tell me and when I phoned couldn't say why or uncancel it. Reluctantly I reordered with different credit card and pretty much the same thing happened. Nothing wrong with credit cards - I checked with card provider! Despite several phone calls and on line complaints, no resolution. Helpful reply today stating order cancelled due to problem with credit card (not true), email all in French!! I view myself lucky that I didn't get the laptop and have to deal with potential problems... Customer service person said he would phone me back tomorrow when he was on holiday it later transpired. Recommend you do not use them, not worth 1 star!","review","english","ACER","Paul","1","2018-11-30T13:11:29.000+00:00","Worst on line experience ever!","1"
"dict","Hi. I bought a Acer predator gaming tower in September 2016. Upgrading graphics i got a problem with the pci port. Contacted acer and they would help me. They send me a UPS packet label and the motherboard went for repair. Today i received a new motherboard.  This kind of service are outstanding!! In the past i have had acer laptops running fine for many years. I can with out doubt recommend Acer!  Keep up the god job. Kind regards!","review","english","ACER","Morten","5","2018-11-21T10:05:26.000+00:00","Exellent service.","5"
"dict","Amazing how little customer service is available out there.  This company is among the worst from what I have read.  My Acer laptop suddenly started installing Windows 10 updates and froze on 98% for hours.  Now it is useless.  Spent hours reading and trying possible solutions which have not worked.  I tried to contact Acer but the laptop is off warranty so they will not help.  I have no install disk because none was provided.     When will we start a consumer rebellion against all the fraud, misrepresentations and downright lying which pervades every aspect of  our society from the top on down?    Honour, ethics and integrity do not seem to exist.  Have you ever wondered how much of your life has been wasted because of Microsoft products and now Acer?","review","english","ACER","Terry Frost","4","2018-11-12T08:30:06.000+00:00","really bad customer service","1"
"dict","I purchased an ACER SPIN 5 from Costco on July 27th 2018.It cost over $700. After one week I was having issues with the computer wakening out of sleep mode. It simply would not. I contacted customer service and they talked me through a solution which only partially worked. I waited for Costco to get some more in but they did not. Now last week 11/2/18 the SSD stopped working and the laptop would not boot up. I went through the usual procedures with technical support and they finally agreed that the hard drive is dead and that I would need to send it to ACER in Texas for repair. They DO NOT cover the shipping and with the insurance it cost me $45 to send an almost brand new computer to ACER for repair. I protested with them and Costco but got nowhere. THE MORAL OF THE STORY IS DO NOT BUY ACER....... I have written to Costco to ask why they did not know about the customer having to pay shipping after the laptop is 90n days old. I am disappointed with ACER &amp; Costco. It is a pity because it seems like it would be a nice machine.","review","english","ACER","Graham Packer","1","2018-11-10T20:44:03.000+00:00","I purchased an ACER SPIN 5 from Costco…","2"
"dict","Laptop broke under warantee, and they said to send it to the service center. Did this, they said ""nah have it back"", packed it so badly it broke even more in transit.","review","english","ACER","L33Tech","1","2018-09-24T19:22:12.000+00:00","Laptop broke under warantee","1"
"dict","When my Acer laptop that I had been using for 10 years stopped working I knew that I wanted my new laptop to be an Acer. Unfortunately I have been very disappointed with my purchase. It works. I'm using it now. But it crashes at lot. It fails to do updates. It completely freezes at least once a week. My internet connection is strong. It's definitely the laptop that has the problem and not my connection. I've had this Aspire E 15 for just over a year now and I can no longer close the lid. It lives under a pillow case when I'm not using it to protect it from the dust. One of the hinges is completely bust and trying to move the lid rips the screen cover away from the screen. I was so happy with my previous Acer laptop but am so disappointed with this one. I feel like I should have gone a bit higher than two stars because my previous Acer was so good. But I bought it a long time ago and my new one is nowhere near the standard I expected. Maybe Acer quality has gone downhill over the years. The only reason I was adamant that I wanted another Acer was because my old one felt indestructible. This one has felt flimsy since the day I took it out of the box. As annoying as it was when the hinge completely broke, it didn't come as a great surprise. I had been expecting something to break for a while. I think I might stay away from Acer next time.","review","english","ACER","Mr Jack","1","2018-08-19T12:34:33.000+00:00","My new Acer laptop is nowhere near the quality of my previous Acer.","2"
"dict","I bought the relatively expensive monitor Acer Predator 27"" 4K IPS G-sync and discovered a couple of months later that it had a couple of bright pixels and reported that to the reseller. They asked me for pictures and after I sent them some photos they said It was difficult to see, but to contact Acer support directly.  Their pixel warranty is ≤2 bright subpixels on a 4K monitor, 3 subpixels=1 pixel.  I contacted Acer support Sweden and sent them 3 photos where the broken/bright pixels were clearly visible, it went quiet for a couple of weeks so I sent them a reminder asking how my case was going. Then they answered and wanted some more photos and asked me to mark/indicate the broken pixels on the photos. So I sent them 6 photos (closeups and with the whole monitor) with the pixels marked. Even in the photo where you can see the whole monitor you can see the broken/bright pixel at a distance, and this is on a 27 inch 4K monitor with high ppi.  Now they asked me for better closeups so that they could see each separate pixel, I don't have a good enough camera (I have a iPhone 8 plus) to take such detailed pictures. I thought it would be enough that they could see the bright white dot in the middle of the screen at all my photos (and another one down in the right corner). As I said earlier, it has so high pixel density that it's hard to distinguish individual pixels with the naked eye. But I can easliy see the bright pixels at a distance.  I gave up, I'll keep the bad monitor and buy a new one from a different manufacturer.   I will never buy an Acer product again, because of poor support and that it's apparently normal with bright white pixels on a premium monitor from Acer. I can't recommend them at all to anyone, sadly, because they have some interesting products.","review","english","ACER","Andreas Sjökvist","1","2018-06-14T15:21:25.000+00:00","Pixel warranty, bad support and not a premium product","1"
"dict","Terrible customer service for some reason only open  daytime  Monday to Friday, don’t reply to emails, don’t even have a live chat at weekends.","review","english","ACER","urkyturky","1","2018-06-11T13:32:29.000+00:00","Terrible customer service for some…","1"
"dict","I would give them less rating if I can. Years ago I bought a laptop and a monitor and they worked fantastic without any issue and still working. When I thought it is time to buy new things, I bought from them based on that. However, the laptop did not survive more than a month and catastrophically failed. It took too much hassle to fix and came back damaged after repairs. In a the following few months, the monitor failed as well. It seems Acer used to produce good stuff in the past but not anymore. Obviously, they are only capitalizing on their past earned reputation but not the current quality. About the damaged laptop after repairs, I complied but I found their staff rude and arrogant to admit the negligence and fault although I showed it to them after three pretend investigations. But the company did not care. When you have bad quality and people like these, what chance do you have. What it seems it used to be good company and good equipment but now they have new policy, new people and less quality. I would not be surprised if someone of Acer responds to this post to give the impression they care, they had many rounds to show that and the issue was escalated to the highest possible. I appreciate they invest in quality control rather than hiring people to give you no joy and good impression they care or investigate.","review","english","ACER","semt","2","2018-03-20T22:39:45.000+00:00","I would give them less rating if I can","1"
"dict","Purchased an Acer laptop which was defective from the start. Instead of giving me a replacement, they tried to fix the issue multiple times before being able to actually fix it.  In the process, they dented the side panel and then passed it off as a minor issue.  Everyone I contacted from Acer were extremely rude, and unwilling to provide service, and unwilling to take accountability for the damage. I now have a physically damaged 1 month old laptop and have already experience very bad conduct from the Acer employees.  Quite frankly, I would give 0 stars if it was possible  TL;DR: DO NOT EVER BUY AN ACER! You can just set fire to all your cash, if that is what you are after, but do not buy an Acer.","review","english","ACER","GravityCoder","1","2018-01-31T07:11:41.000+00:00","Worst quality products and even worse customer service.","1"
