comment,language,product,reviewer,reviewer_review_count,time,title,vote
"I had an Asus Laptop X555LA, not a bad laptop but problems with drivers for Wifi and USB ports. Contacted customer support for older versions of drivers and all they can suggest is ""FACTORY RESET"". No trouble shooting no diagnosis no nothing. It could be a machine at the other end just tell people with problems to Factory reset. This will be my first and last ASUS.",english,asus,Norm Ledger,1,2018-11-30T15:23:04.000+00:00,I had an Asus Laptop X555LA,1
"I have just read 20 reviews on this company,  i was looking as an all in one computer  from asus     never owning one   and not knowing the company    but I dod get   they have dreadful client care    and people are at the mercy of an email      that personal  service and gratitude they are in business is not coming thru,  so  I think i will pass on this purchase",english,asus,Mdourin Dourin,1,2018-11-25T20:32:56.000+00:00,I have just read 20 reviews on this…,1
"Just wish I had looked at reviews before purchasing my Asus laptop and recommending my son to buy the same, which he did.  8 days past the 12 month warranty for battery so not covered  and would be subject to extra charges, which by the sounds of it would be more than I paid for the laptop.  Can't even seem to find the address of their service centres as I can't afford the time to wait, or pay extra charges, for my laptop to be picked up then serviced etc and probably get lost in the system, I thought I would take it direct to a service centre but when I look online I just keep getting referred back to the Asus main page.  Definitely will not buy one of their laptops again and will make sure everyone I know doesn't either",english,asus,Ethel Sumner,9,2018-11-21T20:26:29.000+00:00,Just wish I had looked at reviews…,1
"Router: Good hardware spec, nice interface.Value for the price comparing competition.  Bad: Asked simple question about available option in router's config. Reply looks like they didn't even bother to read the message. Manuals for the product not updated since 2016. Making products worse by removing settings without any genuine need to do so. Motherboard: No complains. Summary: experience ruined by customer service",english,asus,DS,5,2018-11-19T20:12:37.000+00:00,Not bad products but bad support.,2
Frustrated - Customer Services are no help at all.  Took 4 minutes getting through with unintelligible messages and options. Asked 3 times if I was over 16 - seemed to be their main concern. Machine running slow - Stock answer... Factory Reset. No diagnostics or alternative.,english,asus,Simon Egan,2,2018-11-19T21:01:31.000+00:00,Frustrated at useless Customer Services,1
"Writing this whilst waiting for a response from Asus UK and their EU RMA division regarding a high-end (&gt;£500 new) motherboard that has gone faulty within 3-year warranty (18 months in),  but have to echo the one-star comments made by other with regards to the REALLY poor customer service from this company.  I have commenced the RMA process for an expensive motherboard with their Czech division and have received a SECOND-HAND board to replace my faulty item, which is either faulty itself, or has not been refurbished to a very high standard and has clearly had some very heavy use in the past.  The components on their replacement board look tired and worn,  there are traces of dust and 'fluff' in key components and the condition of the replacement board just isn't acceptable.  I cannot understand how a Global Tech' company producing such expensive and leading-edge goods can get away with colourful warranty advertising etc. on their original product packaging, but yet treat customers so badly when there is a genuine component failure.  Buy their products with caution and do not be assured by multi-year warranty when the reality of the RMA process can give you a poor quality replacement (which I will not be using with my expensive CPU !!).  I personally won't buy Asus again.",english,asus,Mike,4,2018-11-19T10:58:27.000+00:00,TERRIBLE CUSTOMER SERVICE - WARRANTY AND RMA REPLACEMENT,1
"Poor company support ,bought an asus gl702vi from amazon and tried to register this ,Was denied registration ,contacted support and they claimed this laptop was registered by someone else ,provided receipt of purchase and they refuse to register this to my account for warranty purposes ,will be forced to legal measures if something occurs due to their poor support and unexcused methods of warranty .",english,asus,Forgotten,8,2018-11-17T17:55:29.000+00:00,"Poor company support ,bought an asus…",1
"bad experience, a lot of money for a product but completely out for the warranty! disappointed, i don't raccomand asus anymore. bought a faulty laptop and the want me to pay to repair. crazyness",english,asus,Michael Cantacessi,2,2018-11-13T14:56:31.000+00:00,bad experience with asus,1
"Bought new Asus Mamemo pad 8 in Currys .barely used for  few months.  Exactly one year and 5 days after the warranty expires my tablet was completely dead. No charging signs, and unable to boot. Contacted the Asus support  technician refused to take for repair under warranty coz only 5 days passed  on my recipe. I wouldn’t buy any Asus product ever !",english,asus,Alex Marinkovich,1,2018-10-11T12:34:39.000+00:00,Rubbish,1
"Asus cloud took my money, I changed my mind as you are entitled to do under a cooling off period. They told me it taked 1 MONTH to fulfil a refund. Needless to say I am still waiting 5 weeks later. A negative review on trust pilot, and a lifetime ban on their products because they wanted to illegally keep under £10.  This company are a disgrace. AVOID",english,asus,Dave Habbick,7,2018-09-29T11:47:07.000+00:00,Asus cloud took my money,1
