"_type","comment","data_type","language","product","reviewer","reviewer_review_count","time","title","vote"
"dict","I ordered a sale desktop PC and monitor from hp.com. they originally said it would take one month to build and ship it. it has been over 1 month and it has not been built yet. I called and asked them to cancel the order and they said they cannot cancel it until after they build it. This makes no sense to me because I no longer want the desktop. To make matters worse they shipped the monitor to me separately but their website says that it was not shipped. I will not be ordering from HP again.","review","english","HP","Jon Beck","1","2018-12-03T17:50:17.000+00:00","I ordered a sale desktop PC and monitor…","1"
"dict","The worst IT company on the planet: Outdated tech; con merchant, sharks sales team that missell; inept, appalling uncommunicative customer relations team, headed (though im told thats a lie) by the contemptuous oliver dyson, that cannot be contacted; internal communication chaotic; unprofessional, inept tech support (enjoy the laughing and screaming in the background); noone generally knows what is going on. They use heavy marketing to relate to prospective customers then ignore you when theyve suckered you into a purchase.   Theyve had many reshuffles but the end is obviously in sight. Stay away.","review","english","HP","shocked","7","2018-12-03T14:40:13.000+00:00","The worst IT company on the planet","1"
"dict","Very disappointed with all HP team, never again . My husband bought me a laptop dor my birthday,  came already damaged (sound,video,battery and usb) i called Customer service they took to repair for 3 times, I'm just tired so i couldn't be bothered to send it again. Was supposed to replace the laptop with a brand new (my husband paid for this when he purchased the laptop)..but no, they ""repaired "" that is even worse than before.","review","english","HP","Ramona","1","2018-12-01T18:12:46.000+00:00","Very disappointed with all HP team","1"
"dict","Bought a HP black/colour refill for &amp;80+ at Walmart, HP put black ink in both cartridges. Their resolution was to UPS me a new set of refills but I refused delivery as it came with a $37.00+ COD bill. HP screwed up, I am not willing to pay for their errors. Sending air printer to land fill an changing to a more reputable company who back their products properly. HP sucks in my opinion an I do not hesitate to let all my friends know as well.","review","english","HP","Bob Hogue","1","2018-12-01T12:23:25.000+00:00","Colour/black cartridge refill error as ourchased","1"
"dict","So i was eager on black friday to get a brand new laptop went onto hp.com got a really nice laptop the Hp Z10 was super excited until my order was cancelled! I was puzzled trying to figure out why i got an email stating that the laptop was incorrectly priced on the website and offered me a $50 voucher for the inconvenience this is really bad customer service first off just cancellingmy order! Why wont they honour the rate which was advertised on the website, its not any customers fault that the item was mispriced i sent an email expressing how disappointed i was about the situation and have yet to receive an email. I would not recommend them to anyone and this is beyond terrible customer service!! Now that black friday is over i cant even get another deal somewhere else...absolutely unacceptable!","review","english","HP","Peggy Cooman","1","2018-11-30T00:40:10.000+00:00","So i was eager on black friday to get a…","1"
"dict","Don't bother with HP, as there are better and cheaper brands of laptops on the market!","review","english","HP","Edward Ferris","1","2018-11-27T23:39:29.000+00:00","Outdated and overpriced!","2"
"dict","There was a Black Friday sale on an HP 17z for 145 bucks. I purchased this deal and later received an email my order was cancelled. I went to chat to find out why and they said there was an error on the website and that was not the correct price there for they cancelled my order. Bad bad way to do business with ppl. Any other company would honor the price. This is ridiculous. Plus I should have read the reviews before purchasing anything from HP. Smh","review","english","HP","jessica chavez","1","2018-11-26T01:32:49.000+00:00","Black Friday deal error...not the customers fault","1"
"dict","Hewlett-Packard reneged on Black Friday order   My new laptop ordered was confirmed early Black Friday morning (Nov. 23), with estimated shipping date of Dec. 4th. The sales price was about $150 before tax. However, by evening time, HP unilaterally canceled my order per their email below. Any so-called pricing error was on HP’s side. Any good Black Friday deals are gone after the whole day, a $50 coupon does not remedy the situation. HP is utterly untrustworthy and irresponsible. Since this incident, I did some research and found that a few years ago, Michigan state sued HP for its failure to deliver on a $49 million contract. Over the years, HP unilaterally canceled other consumers' orders too, so HP has a history of reneging on its obligations.      --------- From Cto-esc Hpshopping  Nov. 23, 2018  We made a mistake! Unfortunately, we experienced an error with our pricing today on the HP 17z which resulted in your order being cancelled.  We are very sorry and hope you will come back to our site and place a new order for this laptop which will be available tomorrow at its correct price or you can shop now for many other amazing Black Friday deals on great HP tech today through next week. Please visit our website to reorder.  Your original order has been refunded. The refund will reflect on your payment account depending on your bank’s processing time – typically 3 to 5 business days from cancellation.  You will receive a cancellation email to confirm.  As an apology, we would like offer you a gift voucher of $50 for use on our site.  Limited to one per customer and can be redeemed by using the single use code included here.  Please note the code will be live and usable tomorrow, November 24th, and expires on December 31st, 2018.  PS:  At checkout, please enter the code provided above in the Coupon Code box and click Apply.  Warm regards, HP.com Store Customer Service Team","review","english","HP","ABCbuy","2","2018-11-24T16:11:17.000+00:00","Hewlett-Packard reneged on Black Friday order","1"
"dict","I wish I had looked at these reviews sooner.  Purchased a new Spectre 360 at a cost of £1600 most ive ever paid for a laptop. It arrived this morning doesn't even turn on support not available at weekends. Looked at warranty which is meant to be 12 months but it states it runs out in 8 months!!!","review","english","HP","Dawn Consiglio","3","2018-11-24T15:46:01.000+00:00","I wish I had looked at these reviews…","1"
"dict","If I could give them no stars I would they sell junk I have the hp pavilion, and once a month my laptop decides it doesn’t want to connect to the internet, and I have to spend 3 hours trying to figure out why it won’t connect. So I called the support number and they freaked tell me I have to pay 50 bucks up front and 14 a month to fix the problem, I will never buy an hp again they sell trash. I highly don’t recommend them.","review","english","HP","Nicholas Olguin","1","2018-11-23T23:07:43.000+00:00","Hp is trash.","1"
