comment,language,product,reviewer,reviewer_review_count,time,title,vote
"Bought two curved gaming monitors from them as they were advertised as 1ms response time. Turns out that’s only on the fastest setting which makes your screen very dark and you can’t adjust the brightness. So I emailed their support team to ask what response time the normal and fast settings were, so far in 2 weeks I’ve had 4 responses. One says they don’t know and that’s it. And the other 3 all day check the manual (which doesn’t give the information). Extremely unprofessional and rude and I won’t ever buy anything from them again.",english,msi,Kerry Bennett,1,2018-11-29T07:50:48.000+00:00,Bought two curved gaming monitors from…,1
Buy a msi gs70 laptop what a bad idea.  5 month pass  I get screen flickering All little rubber stand is lost Battery got 30% recharge max Wifi got disconnected from the board 5x  Msi support is deep trash .Never buy MsI product again for im client is only money !,english,msi,médéric Bellemare,1,2018-11-29T07:51:24.000+00:00,Buy a msi gs70 laptop what a bad idea.,1
"Got a decent deal on a really well-spec'd desktop computer but a couple months later the problems began. Frequest BSODs led to an extended, slow-motion customer service exchange which ultimately required me to ship the massive computer back to MSI's Southern California repair facilities at my expense (over $110). I was without the computer for about a month while MSI took their time.  MSI ended up replacing a number of core harwdare components that probably should never have passed QC. I normally buy Dell and I've always had responsive customer service and fast fixes where Dell paid for overnight shipping. MSI also cripples the hardware on their pre-built computers by shipping with a dumbed down BIOS. For example, a standard Intel feature that speeds up video rendering is disabled because MSI won't allow turning on the on-board GPU, even though this is completely possible with the version of BIOS that ships with the same motherboard sold to PC builders. MSI support first told me to to enable the GPU that I had told them was not available in their BIOS, then proceeded to ignore all follow-up messages.  MSI doesn't stand behind their products, so any possible benefit from their well-spec'd hardware is completely negated by their horrible customer support and deficient quality control.",english,msi,RedJ,1,2018-11-25T00:36:51.000+00:00,It's just not worth it,1
"Current Date Nov 19, 2018  Around The start of October I RMAed my $50 Graphics card to MSI (fan failure) October 10th i recieved a notice that my RMA was on its way back Oct 13th they e-mailed me and said that it had been delivered (Fedex) but I never got it. Oct 18th - wondering what is taking so long i e-mail MSI / Fedex.  Nov 5th - I get an e-mail from MSI saying that they are trying to submit a claim but its not going through, but will keep trying. they never get back to me. Today (called MSI and Fedex) - Here's the deal.  It seems likely the Fedex did deliver my package, however they NEVER asked for me to sign for it.  They didn't ask me to sign for it because MSI didn't request for it to be signed for because it costs the more money to do that. MSI didn't ask me if it needed to be signed for nor even give me an option up front to ask if it should be signed for (as far as I know). If I had known that I needed to request that it had to be signed for I ABSOLUTELY would have requested it because my neighbourhood is not a safe place to drop stuff. However because i didn't request it, its my fault. Not fedex's, not MSI WHO SHIPPED IT IN THE FIRST PLACE. mine.  So if Fedex doesn't accept MSI's claim that they lost I'm out my GPU (which btw MSI tells me will take at least 14 days JUST TO FIND OUT!) Your GPU is gone kid, too bad but its your fault that we wanted to save a few bucks.",english,msi,Daniel Kipp,1,2018-11-24T15:31:02.000+00:00,Demand that MSI request signature delivery,1
"Had a faulty GPU and emailed them, they refused to do anything as I wasn't a partner, and instead said I should sign up on the forum for tips. Ended up having to sell the GPU on eBay for a loss, I know it's partially my fault for getting one second hand, but I will be trying to avoid MSI products in the future if possible. I went with ASUS after that and it was one of the best choices I could have made.",english,msi,Peter,5,2018-11-24T15:34:55.000+00:00,They wanted nothing to do with a faulty GPU,1
Worst service and no maintenance of the building. Pipes are rusty and old and they blame us for damages and make us pay the bills. I do not recommend anyone doing business with MSI.,english,msi,Mlo24,2,2018-11-19T22:03:12.000+00:00,Worst service and no maintenance of the…,1
"Worst customer service EVER!!! Buyer beware!  After buying a $1000 laptop, the LCD screen broke. I requested to return the laptop to MSI to fix it. It all started off when I needed the serial code in order to fill out the return form. The serial no. had rubbed off of the bottom of the laptop. I called them about this, and after being on hold for 45 minutes(!!) they told me to use the serial code off of the charger. I did precisely that and returned the laptop to their return adress in Poland. They provided me with a repair-tracking link which I kept checking up on. The tracking link provided to me by UPS said that my laptop had already been delivered to the MSI adress in Poland 3 days ago whilst the repair-tracking link was stuck on ""approved"" and still hadn't moved forward to ""received"". I e-mailed them about this and never got a reply. I called them a week later. This is when they told me they had changed the serial no. I put in (you know, the one from the charger) to the serial code from the bottom of the laptop. Because of this, I was tracking the repair status of the charger of my laptop instead of the actual laptop itself. They never informed me about this change. They then told me that, after four weeks!!!, the laptop was already on it's way back to the Netherlands (with nearly a week of delay). They were going to provide me with the correct tracking link for the UPS parcel which held my laptop the very same day- this was a friday. Except they didn't. And since they're not available on the weekends I had to wait until the next monday, 9 am before I could make another phone call. This was the day they told me the laptop was supposed to be delivered to my house. I just got off of a week of night shifts and was not in the mood for the doorbell ringing constantly so I stayed up 'till 9 to call them to ask them to PLEASE send me the tracking information. They finally did so and only for me to find out the parcel hadn't even made it from the Netherlands yet and had been sent 2 days AFTER MSI told me the parcel was sent.   Am very disappointed in their customer service. After spending this much money on a laptop I seriously expected a higher level of quality service. I've been very let down and frustrated by this and will strongly advise other consumers to not buy from MSI but get another brand of laptop instead.",english,msi,Lenneke K,1,2018-11-05T10:59:52.000+00:00,Worst customer service EVER!!,1
"Complaint Letter! Attention! Very dangerous shop! With the purchase of goods MSI in MediaMarkt stores you can be in a very uncomfortable situation. I bought a gaming laptop for 1300 euros, MSI GP72M 7.RD, on the aluminum keyboard near the spacebar, there were two notches on the outside of the screen from the inside of the laptop, since the screen was not damaged, I thought that there would be no problems and the store will not be notified and will not return the laptop. A month later, while carrying a laptop in a suitcase, these two notches pierced the screen symmetrically. I took the laptop for repair. For two months I received only the refusal of the free repair.  The first version of the service center was that the laptop fell and therefore the screen was stuck. The second version was that the laptop was pushed. The third version was that there was a clip between the screen and the keyboard, or something that pierced both the screen and the aluminum keyboard. There are no questions about what happened with the aluminum keyboard for two months and there were no answers. When they handed the laptop over to the store for service, the staff were extremely unfriendly, as he himself was guilty, having to carry the laptop back to the store immediately after opening the box. But the question is, where in the documents is that if you find a notch on the aluminum keyboard, then immediately carry the laptop back?  After two months of finding a laptop on duty, the notches were reportedly not going from the inside of the case as they were, but inside. Now to prove how it was impossible at first. And the question to the service, how and how to allegedly pierce the screen and the aluminum keyboard, so that, apart from two points, no traces are left, remains unanswered. The result, I can not get a laptop out of repair for two months. The bill for the repair of the screen was sent to 260 euros, and within two months the service does not confirm in writing a notch on the aluminum keyboard. All that remains is to sue the shop and the manufacturer, terminate the contract and return their money to 1300 euros and forget about the MSI and the media market.   Vorsicht! Achtung! Mit dem Kauf von Waren MSI in MediaMarkt-Läden können Sie in einer sehr unangenehmen Situation sein. Ich kaufte ein Gaming-Laptop für 1300 Euro, MSI GP72M 7.RD, auf der Aluminium-Tastatur in der Nähe der Leertaste gab es zwei Kerben auf der Außenseite des Bildschirms aus dem Inneren des Laptops, da der Bildschirm nicht beschädigt war, dachte ich, dass es keine Probleme geben würde und der Laden nicht benachrichtigt und nicht den Laptop zurück . Einen Monat später, beim Transport eines Laptops in einem Koffer, durchbohrten diese beiden Kerben den Bildschirm symmetrisch. Ich nahm den Laptop zur Reparatur. Zwei Monate lang erhielt ich nur die Ablehnung der kostenlosen Reparatur.  Die erste Version vom Service Center war, dass der Laptop fiel und der Bildschirm daher durchstochen wurde. Die zweite Version war, dass der Laptop geschoben wurde. Die dritte Version war, dass es einen Clip zwischen dem Bildschirm und der Tastatur gab oder etwas, das sowohl den Bildschirm als auch die Aluminiumtastatur durchbohrte. Es gibt keine Fragen zu den Fragen, was mit der Aluminiumtastatur seit zwei Monaten passiert und es gab keine Antworten. Als sie den Laptop an den Laden übergaben, um zum Service geschickt zu werden, waren die Mitarbeiter extrem unfreundlich, so wie er selbst schuld war, er musste sie sofort nach dem Öffnen der Box, dem Laptop zurück zum Laden tragen. Aber die Frage ist, wo in den Dokumenten ist, dass, wenn Sie eine Kerbe auf der Aluminiumtastatur finden, dann sofort den Laptop zurück tragen?  Nachdem sie zwei Monate lang einen Laptop im Dienst gefunden hatten, wurden die Kerben angeblich nicht von der Innenseite des Gehäuses nach außen wie sie waren, sondern drinnen. Jetzt zu beweisen, wie es zunächst unmöglich war. Und die Frage an den Dienst, wie und wie man angeblich den Bildschirm und die Aluminiumtastatur durchbohren soll, so dass, abgesehen von zwei Punkten, keine Spuren mehr vorhanden sind, bleibt unbeantwortet. Das Ergebnis, ich kann einen Laptop zwei Monate lang nicht aus der Reparatur bringen. Die Rechnung für die Reparatur des Bildschirms wurde an 260 Euro gesendet, und innerhalb von zwei Monaten bestätigt der Dienst nicht schriftlich eine Kerbe auf der Aluminiumtastatur. Es bleibt nur, das Geschäft und den Hersteller zu verklagen, den Kaufvertrag zu kündigen und ihr Geld 1300 Euro zurückzugeben und den MSI und über den Mediamarkt zu vergessen.",english,msi,Nikolaus Erney,3,2018-11-04T18:59:04.000+00:00,Complaint Letter! Attention! Very dangerous shop! Vorsicht! Achtung!,1
"Horrendous customer service, my £600 graphics card failed 2 years 9 months into the 3 year warranty, I sent it back, had it back, it worked for 3 months, broke again with the same fault and they refused to help. Do not buy from MSI, go for zotac with their 5 year warranty and excellent customer service. You've been warned.",english,msi,John,3,2018-10-29T08:17:15.000+00:00,Horrendous customer service,1
"I can't speak for others but my experience with this laptop has been a horror story. Problem after problem. The ""awesome"" LED keyboard stopped responding. I got a few bluescreens (which randomly just happen). When i'm typing the computer takes a mind of it's own sometimes and randomly backspaces and has a key ""stick"" and type 10-20 of the character, all the time. The memory cache always has to reload and the cache on the desktop won't even load anymore (dead icons). And to top it all off, the hinge on the left side broke, as I was closing my lid the other day. Now I can't even close it without significant effort. There are more issues but these just the ""major"" ones off the top of my head. Initially when the problems began, my issues were under warranty. However, it was a bad time in my life and I was in the middle of moving. I kindly asked for help, as I, unknowingly, missed the warranty window by 4 days, after I regained my health, and they refused to help at all. I guess near death experiences don't count as hardship. All they said do was send back and pay $$$ hundreds to diagnose the problem at my expense. Now I understand that their warranty is up to them and you can appease customers or go by the book, to try and avoid being taken advantage of. But a company of this stature that receives ""Award on top of Award"" for great products should do better. I'm unsure of how these products are judged but from my experience, it's been atrocious and now i'm stuck with a broken computer. Do yourself a favor and search elsewhere. These guys are amateurs at best.",english,msi,Travis,1,2018-10-16T21:22:29.000+00:00,Buyer Beware,1
"Reay crap keyboard that breaks down, can't use etter e at a.  Read between the ines, and you can see which etter does not work at a.  Totay bad aptop, never buy one. Aso this review system does not accept offensive anguage, another nai in their coffin that one",english,msi,Mikko Tamminen,4,2018-10-16T21:26:52.000+00:00,Reay crap keyboard that breaks down,1
"On black Friday 2017 I bought one of the newest MSI laptop for 2000 dollars. Earlier I had used a stationary but I felt like getting a laptop to be able to move it around.   Just after 3 weeks my A button broke and soon after my D button broke. I can feel that the buttons I use often are more loose. I can live without some buttons but today after 8 months suddenly one of the back parts holding the screen to the rest of the computer broke when I feel the computer down. So now my screen is kinda loose on one side.   Relly regret buying a laptop especially from msi, just don't do it. If you really want a laptop get one from another company.",english,msi,Adam,1,2018-10-11T17:58:43.000+00:00,"Bought latest model of laptop, I really regret it.",1
"Got an MSI GE62 6QC at the end of 2015, caught MSI gimping it's performance through shady and undocumented changes in BIOS/EC updates along with multiple other problems. After 3 RMAs they upgraded me to a GE62VR 7RF which has many of the same issues and shows signs of hardware failure. MSI refuse to do anything.",english,msi,Jack Peters,7,2018-10-11T17:59:08.000+00:00,Shady company that gimps laptops.,1
