comment,language,product,reviewer,reviewer_review_count,time,title,vote
Having had two Razer Raiju controllers both with L3 button faults I couldn’t recommend anyone to buy a Razer Raiju. For £200 controllers the look and feel is great but they are let down by this well known issue and no support. Support make it as difficult as they can to resolve any issue asking for several types of videos. Heading back over to Scuff 👍,english,razer,Ash,3,2018-12-01T15:12:34.000+00:00,Having had two Razer Raiju controllers…,1
"Worst company I've ever dealt with. Bought the Razer phone 1 beginning of May. Simple phone features didn't even work. About the only thing the ""phone"" could do was play games. Even then it'd crash randomly. I've contacted them countless times with no replies for weeks. They stalled me for six months,ago telling me that there would be an update. The update only ended up making my phone worse. It's November and I finally received another phone after paying for the advanced replacement, and now they're not responding again when trying to send it back. They charged me twice and disappeared both times. Bunch of lying, thieving, pieces of garbage. Nobody should purchase any of their products and hopefully they go bankrupt.  I work in retail and this is hands down the worst customer service I have ever seen. EVER.",english,razer,David Pierce,1,2018-12-02T13:49:46.000+00:00,Worst company I've ever dealt with,1
I believe that the Razer Ornata Chroma is a very good gaming keyboard. The Razer Ornata Chroma has mid-height keys that allow for a faster response time when you are playing games.  I think we all can agree that when you are doing something you want it to be the most efficient it can. The Razer Ornata Chroma gives you that by giving fast times for gaming and this allows you to get an edge on whatever you are doing. You really want the Razer Ornata Chroma if you game at all because it gives you an enjoyable time.,english,razer,Jack Steinman,1,2018-11-29T02:16:28.000+00:00,I believe that the Razer Ornata Chroma is a great keyboard,5
Bought a lot of products from EU razer directly and only one product died. Warranty team replied on email in 24 hours accepted warranty and all went good. Received brand new keyboard back. Support team is very friendly and helpful especially live chat. Only thing i dont like is when you buy from Razer Europe store your package is shipped from Hong Kong. Took them 10 days to ship package to my home. Also dealing with customs is hell especially in my country (all went good but wasted so much time phone calls sending documents etc..) This is only downside and i give them 4 stars because of it.,english,razer,Mate,6,2018-11-29T02:29:36.000+00:00,Good company and helpful support,4
Every product I got from razer was amazing from start to finish. I got a mouse from a 3rd party seller referbished and they were more than happy to send me a replacement after that ones tracker went out. Idk many company’s who would be willing to help out under those circumstances. I have the black widow chroma v2 never had a problem with it! I have the razer siren x never had a problem. Razer kraken pros are a amazing headset I recommend every person gets. Also have 2 razer mouses a Naga chroma and a razer deathadder chroma both wonderful mouses! Razer is the best company for gaming products period.,english,razer,Gregory Little,1,2018-12-01T13:13:48.000+00:00,I love razer,5
"I've been with Razer since 2010, I think. Really loved the products, idea and so on. I have a lot of Razer stuff, but the keyboard I just bought made a final blow to my hard: it died in a three weeks after a purchase. A truly frustrating experience. I'll probably stick with a Logitech next time.",english,razer,Varper,1,2018-11-27T03:11:37.000+00:00,I've been with Razer since 2010,1
Stay away from the Razer Phone 1 and honestly with having three of these sitting I my office all faulty and they can't bother to do a damn thing to help but they come out with a number 2 for 800 without helping their customers or fixing their issues stay away from the Razer Phone 2. I will be informing my 100k+ YouTube subscribers to stay away from this company entirely and I implore all hard working Americans to avoid Razer entirely. Let's show them with our wallets that they cannot take our hard earned money and offer us nothing in return and get away with it. My new goal for my youtube channel is to destroy inform Americans of this awful companies behavior and devices and make Razer a thing of the past. I will also be at Quakecon and all of my other gaming and tech events telling all my viewers friends and peers to stay away from Razer products. Good riddance to bad rubbish.,english,razer,Sollarii,2,2018-11-23T23:27:28.000+00:00,Stay away from the Razer Phone 1 and…,1
"I honestly do not recommend shopping at razer.com, I ordered a mouse, I paid the entire order, including the shipping fee. I have not received the item purchased for over a month, and what's more the support team is just plain crooks. For 3 weeks I have been trying unsuccessfully to recover my money, but in feedback I received information that I can receive a gift coda, however, it will not include the shipping fee, so I will have to pay it again ... Until today I have not received any product or money, and support team continues to write that I have to wait another 2-3 business days for a response. CHEATING THE CUSTOMERS, I DO NOT RECOMMEND",english,razer,Jakub,1,2018-11-23T11:31:55.000+00:00,I honestly do not recommend shopping at…,1
I got my mouse and mousepad. It's excellent and I am so happy with it. I'm thinking to order a headset next but can't decide which one haha! A great company.,english,razer,Ana Balentić,2,2018-11-21T22:16:15.000+00:00,Excellent,5
"Bought a laptop recently and it said it was not able to go through due to lack of authorization. Understandable, perhaps it was simply a basic issue. Called my bank the next morning and the funds had indeed been removed from my account. No email regarding shipment or verification or purchase. You've for sure lost a customer here and you'll never get it back. Don't buy things from this website, they're shady thieves and will not issue a refund to me.",english,razer,Empy,1,2018-11-26T22:04:41.000+00:00,Website and Company full of liars and thieves.,1
"DO NOT BUY ""Razer Man O War 7.1 Wireless"" HEADPHONES. Bought my son a set for his birthday and in under 2 years (in Australia) the plastic head band snapped while he was putting it on his head. Razer said it only has 1 year warranty, so too bad so sad. No headphones (costing well over $200) should fracture ever, let alone in under 2 years. You can see in the photos that the headphones were treated very well as well. POOR QUALITY PRODUCT, CRAP CUSTOMER SERVICE, DON'T BUY RAZER! *** Notice the friendly email from Razer below, got that from Razer Customer Service when I lodged the issue, they said only 1 year warranty; I asked the issue to be escalated, with they said they would, then I never heard back from them again after numerous emails over a number of weeks ***",english,razer,Markus,1,2018-11-19T18:13:49.000+00:00,"DO NOT BUY ""Razer Man O War 7.1…",1
